counter,timestamp,deadtime,height_1,height_2,time_difference
9873.0,1770640795.5646517,0.09195402298850575,779.0,1453.0,-85.0
9875.0,1770640795.5777545,0.17677946324387397,925.0,1516.0,-90.0
9884.0,1770640795.6142924,0.18559556786703602,2574.0,1401.0,-86.0
9894.0,1770640795.6394162,0.10998834045860863,391.0,1486.0,-86.0
9897.0,1770640795.655252,0.057674841053587646,1638.0,1857.0,345.0
9899.0,1770640795.6640193,0.045937042459736455,1138.0,482.0,-86.0
9900.0,1770640795.6665251,0.04128873771730915,515.0,1450.0,-86.0
9903.0,1770640795.6786072,0.00810284378652123,680.0,2989.0,-86.0
9904.0,1770640795.6834145,0.015579746329771297,1137.0,1522.0,-87.0
9906.0,1770640795.6997907,0.03479424556707929,746.0,1449.0,-85.0
9909.0,1770640795.703346,0.1751611013473931,650.0,1454.0,-85.0
9912.0,1770640795.7189639,0.009079975947083584,605.0,530.0,-85.0
9913.0,1770640795.7322252,0.005370530565167243,1130.0,348.0,-86.0
9914.0,1770640795.7337115,0.044938271604938275,330.0,839.0,-85.0
9916.0,1770640795.7463548,0.00930484442693974,1564.0,302.0,29.0
9917.0,1770640795.748248,0.024182257859233804,747.0,368.0,-86.0
9918.0,1770640795.7491999,0.048094141724226144,372.0,2508.0,-86.0
9919.0,1770640795.7516694,0.019350447296771683,274.0,1448.0,-86.0
9922.0,1770640795.760749,0.027253064167267485,379.0,752.0,-86.0
9924.0,1770640795.7637188,0.060740354535974976,1140.0,1399.0,-86.0
9929.0,1770640795.7784317,0.024304194433555467,573.0,1437.0,-85.0
9930.0,1770640795.7806015,0.028741439317390816,454.0,617.0,-85.0
9935.0,1770640795.8019354,0.1710870377288009,538.0,1468.0,-87.0
9937.0,1770640795.8077912,0.03978779840848806,850.0,1486.0,-86.0
9940.0,1770640795.8236046,0.05197223632977823,676.0,1522.0,-86.0
9946.0,1770640795.841201,0.013654441007512152,567.0,496.0,-86.0
9952.0,1770640795.8719883,0.029663394109396914,1136.0,968.0,-86.0
9955.0,1770640795.879322,0.03932411674347158,1133.0,1400.0,-85.0
9958.0,1770640795.8836184,0.030873951622705724,1132.0,1415.0,-86.0
9959.0,1770640795.8842056,0.11331923890063425,1138.0,1510.0,-86.0
9962.0,1770640795.8927698,0.05043512658227848,501.0,409.0,-86.0
9966.0,1770640795.9114642,0.15825123152709358,208.0,417.0,-85.0
9969.0,1770640795.9261007,0.013591839100446299,788.0,1469.0,-86.0
9970.0,1770640795.9300642,0.028496620593070694,606.0,844.0,-86.0
9971.0,1770640795.9339082,0.02491327656890571,273.0,467.0,-86.0
9974.0,1770640795.9500296,0.17323369565217392,635.0,1085.0,-85.0
9976.0,1770640795.9646275,0.01989178369249054,694.0,1449.0,-86.0
9977.0,1770640795.9677746,0.035733876655434524,675.0,1506.0,-101.0
9979.0,1770640795.9760723,0.024118455197679745,623.0,242.0,-86.0
9982.0,1770640795.9837987,0.8362465501379944,2015.0,1431.0,-244.0
9992.0,1770640796.0302289,0.14147069802164988,458.0,529.0,-58.0
9995.0,1770640796.0414877,0.009182141911180434,802.0,1457.0,-85.0
10006.0,1770640796.0771253,0.07694210786739238,333.0,1354.0,-85.0
10010.0,1770640796.0911274,0.060626702997275204,674.0,1402.0,-85.0
10011.0,1770640796.101298,0.010856566698712688,374.0,354.0,-86.0
10015.0,1770640796.117775,0.027743344548727938,527.0,1443.0,-85.0
10016.0,1770640796.120446,0.028773628829499954,563.0,1495.0,-85.0
10018.0,1770640796.1214614,0.5242494226327945,424.0,655.0,-87.0
10025.0,1770640796.1530707,0.027513227513227514,1793.0,218.0,-86.0
10026.0,1770640796.1635258,0.010655117893723792,1138.0,1505.0,-86.0
10031.0,1770640796.1713028,0.023297625290283917,1137.0,1465.0,-86.0
10032.0,1770640796.1757565,0.0167754463563299,295.0,527.0,201.0
10037.0,1770640796.197021,0.01696268847431638,2381.0,546.0,-536.0
10040.0,1770640796.2095191,0.026060455280507527,266.0,777.0,-86.0
10041.0,1770640796.2104661,0.07933478735005453,207.0,331.0,-88.0
10043.0,1770640796.2145383,0.025014830927427328,498.0,1504.0,-86.0
10051.0,1770640796.2374773,0.012462654716175843,2823.0,1587.0,117.0
10059.0,1770640796.270968,0.06710700132100396,368.0,595.0,-86.0
10071.0,1770640796.2947457,0.2031386224934612,650.0,529.0,-86.0
10073.0,1770640796.2980483,0.028587085578591652,391.0,342.0,-87.0
10082.0,1770640796.3557417,0.0057304170537211515,773.0,1515.0,-86.0
