x,y_fit,uncertainty
1.220000000000000000e+02,1.962954455112525238e+02,1.937724414926155492e-01
1.230000000000000000e+02,1.948361719259622475e+02,1.931216547069483924e-01
1.240000000000000000e+02,1.933768983406719713e+02,1.924735853982051936e-01
1.250000000000000000e+02,1.919176247553816950e+02,1.918282611074788313e-01
1.260000000000000000e+02,1.904583511700913903e+02,1.911857096330990546e-01
1.270000000000000000e+02,1.889990775848011140e+02,1.905459590243211709e-01
1.280000000000000000e+02,1.875398039995108377e+02,1.899090375890338245e-01
1.290000000000000000e+02,1.860805304142205614e+02,1.892749738872985255e-01
1.300000000000000000e+02,1.846212568289302851e+02,1.886437967341740851e-01
1.310000000000000000e+02,1.831619832436399804e+02,1.880155352023631654e-01
1.320000000000000000e+02,1.817027096583497041e+02,1.873902186155552985e-01
1.330000000000000000e+02,1.802434360730594278e+02,1.867678765554571241e-01
1.340000000000000000e+02,1.787841624877691515e+02,1.861485388549506403e-01
1.350000000000000000e+02,1.773248889024788753e+02,1.855322356003069884e-01
1.360000000000000000e+02,1.758656153171885990e+02,1.849189971332004800e-01
1.370000000000000000e+02,1.744063417318982943e+02,1.843088540445061985e-01
1.380000000000000000e+02,1.729470681466080180e+02,1.837018371760992252e-01
1.390000000000000000e+02,1.714877945613177417e+02,1.830979776224378464e-01
1.400000000000000000e+02,1.700285209760274654e+02,1.824973067231663304e-01
1.410000000000000000e+02,1.685692473907371891e+02,1.818998560688389055e-01
1.420000000000000000e+02,1.671099738054468844e+02,1.813056574932754850e-01
1.430000000000000000e+02,1.656507002201566081e+02,1.807147430745809913e-01
1.440000000000000000e+02,1.641914266348663318e+02,1.801271451359250653e-01
1.450000000000000000e+02,1.627321530495760555e+02,1.795428962375544280e-01
1.460000000000000000e+02,1.612728794642857792e+02,1.789620291815507414e-01
1.470000000000000000e+02,1.598136058789955030e+02,1.783845770035540068e-01
1.480000000000000000e+02,1.583543322937051983e+02,1.778105729728908790e-01
1.490000000000000000e+02,1.568950587084149220e+02,1.772400505924341674e-01
1.500000000000000000e+02,1.554357851231246457e+02,1.766730435899240281e-01
1.510000000000000000e+02,1.539765115378343694e+02,1.761095859208152425e-01
1.520000000000000000e+02,1.525172379525440931e+02,1.755497117625561820e-01
1.530000000000000000e+02,1.510579643672538168e+02,1.749934555087649946e-01
1.540000000000000000e+02,1.495986907819635121e+02,1.744408517713550433e-01
1.550000000000000000e+02,1.481394171966732358e+02,1.738919353710324245e-01
1.560000000000000000e+02,1.466801436113829595e+02,1.733467413357547282e-01
1.570000000000000000e+02,1.452208700260926832e+02,1.728053048988795193e-01
1.580000000000000000e+02,1.437615964408024070e+02,1.722676614899444347e-01
1.590000000000000000e+02,1.423023228555121023e+02,1.717338467324250051e-01
1.600000000000000000e+02,1.408430492702218260e+02,1.712038964411663478e-01
1.610000000000000000e+02,1.393837756849315497e+02,1.706778466118180626e-01
1.620000000000000000e+02,1.379245020996412734e+02,1.701557334216835804e-01
1.630000000000000000e+02,1.364652285143509971e+02,1.696375932187334512e-01
1.640000000000000000e+02,1.350059549290607208e+02,1.691234625181095574e-01
1.650000000000000000e+02,1.335466813437704161e+02,1.686133779982776359e-01
1.660000000000000000e+02,1.320874077584801398e+02,1.681073764894559508e-01
1.670000000000000000e+02,1.306281341731898635e+02,1.676054949730035049e-01
1.680000000000000000e+02,1.291688605878995872e+02,1.671077705693936044e-01
1.690000000000000000e+02,1.277095870026093110e+02,1.666142405333677079e-01
1.700000000000000000e+02,1.262503134173190062e+02,1.661249422487203198e-01
1.710000000000000000e+02,1.247910398320287300e+02,1.656399132163504651e-01
1.720000000000000000e+02,1.233317662467384537e+02,1.651591910485704084e-01
1.730000000000000000e+02,1.218724926614481774e+02,1.646828134630320961e-01
1.740000000000000000e+02,1.204132190761579011e+02,1.642108182693990670e-01
1.750000000000000000e+02,1.189539454908676248e+02,1.637432433662208697e-01
1.760000000000000000e+02,1.174946719055773201e+02,1.632801267264419876e-01
1.770000000000000000e+02,1.160353983202870722e+02,1.628215063936241103e-01
1.780000000000000000e+02,1.145761247349967675e+02,1.623674204676686939e-01
1.790000000000000000e+02,1.131168511497064628e+02,1.619179070977333212e-01
1.800000000000000000e+02,1.116575775644162150e+02,1.614730044714761947e-01
1.810000000000000000e+02,1.101983039791259102e+02,1.610327508034245236e-01
1.820000000000000000e+02,1.087390303938356624e+02,1.605971843294830836e-01
1.830000000000000000e+02,1.072797568085453577e+02,1.601663432883070337e-01
1.840000000000000000e+02,1.058204832232550530e+02,1.597402659152893645e-01
1.850000000000000000e+02,1.043612096379648051e+02,1.593189904298186188e-01
1.860000000000000000e+02,1.029019360526745004e+02,1.589025550223497063e-01
1.870000000000000000e+02,1.014426624673842525e+02,1.584909978472755776e-01
1.880000000000000000e+02,9.998338888209394781e+01,1.580843570033703405e-01
1.890000000000000000e+02,9.852411529680369995e+01,1.576826705261637485e-01
1.900000000000000000e+02,9.706484171151339524e+01,1.572859763739477834e-01
1.910000000000000000e+02,9.560556812622309053e+01,1.568943124136184253e-01
1.920000000000000000e+02,9.414629454093284266e+01,1.565077164119725306e-01
1.930000000000000000e+02,9.268702095564253796e+01,1.561262260153253589e-01
1.940000000000000000e+02,9.122774737035229009e+01,1.557498787403579776e-01
